Price,Close,High,Low,Open,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ
Date,,,,,
2010-01-04,40.418453216552734,40.61217031241157,40.2497326439659,40.4371994171069,9506200
2010-01-05,39.94975280761719,40.38093420663559,39.88101360581437,40.355937699834904,10673100
2010-01-06,40.27470779418945,40.33095114026189,39.88727376221264,39.931016468003484,13171500
2010-01-07,39.987274169921875,40.212235729392596,39.83104947418407,40.149746804617344,10901600
2010-01-08,40.12473678588867,40.15598362156661,39.762296853253524,39.94351562767166,7898000
2010-01-11,40.13098907470703,40.46218457170609,39.99976094009974,40.46218457170609,7975700
2010-01-12,40.34344482421875,40.44343087065755,40.00599906888345,40.07473828391085,10820700
2010-01-13,40.59967803955078,40.76215307144579,40.330971350016625,40.330971350016625,13023800
2010-01-14,40.68089294433594,40.78712454915458,40.46217941453361,40.74338184319412,7899000
2010-01-15,40.34344482421875,40.74337947477976,39.9810049410723,40.70588709116375,20995000
2010-01-19,40.837127685546875,41.087088110461025,40.062254659151705,40.08100085669052,15181800
2010-01-20,40.71214294433594,41.212058941684475,40.28721172441092,40.9121102967949,13033000
2010-01-21,39.974769592285156,40.91211761861319,39.86853557639234,40.66215719140599,14473900
2010-01-22,39.49357986450195,40.112230337326736,39.424840658210506,39.93725716209444,14017200
2010-01-25,39.50608444213867,39.80603543994989,39.3998504561938,39.78728686372513,10001700
2010-01-26,39.237388610839844,39.37486469918139,38.88119655465614,39.14365285550759,15630300
2010-01-27,39.64356994628906,39.818543191251834,39.18114627498556,39.23113692797549,14982400
2010-01-28,39.8685302734375,40.03725318179045,39.393608385472845,39.72480388124031,17096000
2010-01-29,39.2811279296875,40.16223251135533,39.25613141258795,39.96226752595618,17844400
2010-02-01,39.42486572265625,39.53109737533586,39.22489829565953,39.53109737533586,10153400
2010-02-02,39.987274169921875,40.118499958430036,39.13741144370024,39.493603559278476,13609300
2010-02-03,39.76230239868164,39.9122767421368,39.54983675895416,39.9122767421368,9255900
2010-02-04,39.143653869628906,39.7560543046141,39.13115560967418,39.674819190607444,18397000
2010-02-05,39.143653869628906,39.743556044659385,38.67497984842396,39.17489832761603,16775200
2010-02-08,38.97492599487305,39.35611453186892,38.90618676573621,39.05616348238013,10081200
2010-02-09,39.21863555908203,39.66231538210846,39.037416774588486,39.08740742361459,11356400
2010-02-10,39.19989013671875,39.412355762817455,38.87494256834431,39.23738491207701,10115800
2010-02-11,39.31237030029297,39.49983940100407,38.90618526225314,39.131149136626036,8353600
2010-02-12,39.193641662597656,39.36861251094171,38.812453128306096,39.124902433948485,12335800
2010-02-16,39.74980926513672,39.812298185667736,39.25613868802333,39.52484533714583,10212400
2010-02-17,39.98100662231445,40.218468724995034,39.74979483969841,39.76229309602883,9485500
2010-02-18,40.324710845947266,40.43094247676607,39.962270853025096,39.98101705051094,8260600
2010-02-19,40.17987060546875,40.5891610515909,40.06022990109444,40.39396184262298,14222300
2010-02-22,39.9783821105957,40.36248487226215,39.91541267275317,40.17987950761492,9839700
2010-02-23,39.86505126953125,40.205076725905215,39.81467570441561,40.0224713074589,12481400
2010-02-24,39.95320129394531,40.20507188306739,39.82726479836485,40.01616834071612,8519300
2010-02-25,39.84614562988281,39.890223033293346,39.367589934837724,39.53760380600907,10528900
2010-02-26,39.66984176635742,40.04135307898105,39.66984176635742,39.959494002765354,9357800
2010-03-01,39.9154052734375,39.95948267073721,39.77687493790243,39.83984436407201,9219400
2010-03-02,39.946895599365234,40.07283207114776,39.68243117045651,39.86503893443925,9014000
2010-03-03,39.92171096801758,40.142097996200945,39.80836838151229,40.041349297311626,9360400
2010-03-04,40.02874755859375,40.11060661102278,39.902811109173236,40.00355978830205,8067200
2010-03-05,40.32470703125,40.34359666224856,40.01616278005522,40.0854279631013,10633600
2010-03-08,40.42545700073242,40.557694037879756,40.31211440037578,40.34989846987966,33380500
2010-03-09,40.46953201293945,40.645846450659086,40.356189419301145,40.645846450659086,8827100
2010-03-10,40.48213195800781,40.652143461774855,40.39397713322822,40.60806604938506,8436600
2010-03-11,40.43804168701172,40.43804168701172,40.047638441359595,40.39396428863778,9957800
2010-03-12,40.41286849975586,40.463244060098326,40.20507291640158,40.463244060098326,8223000
2010-03-15,40.658443450927734,40.658443450927734,40.34360340413286,40.38768081852103,7444700
2010-03-16,40.63325881958008,40.75289958393864,40.44435765931092,40.74030329080709,8882000
2010-03-17,40.70882797241211,40.76549688735204,40.6017834859174,40.75290539650281,8060700
2010-03-18,40.96697998046875,41.023653679581834,40.532504039628854,40.664736265456405,11742100
